seed,comparison,n_positive,n_negative,test_auroc,test_auprc,test_f1,test_precision,test_recall,positive_score_median,negative_score_median,negative_score_iqr,positive_size_median,negative_size_median,negative_size_iqr
7,full replacement shuffled,108,54,0.6097393689986282,0.7252777580694056,0.5632183908045977,0.7424242424242424,0.4537037037037037,0.49044865369796753,0.44034382700920105,0.432-0.530,16.5,18.5,6.2-32.8
7,corrupted pathway,108,54,0.5096879286694102,0.679043800295533,0.5414364640883977,0.6712328767123288,0.4537037037037037,0.49044865369796753,0.49044865369796753,0.436-0.531,16.5,16.5,9.2-32.0
7,cross pathway mixture,108,54,0.5655864197530864,0.7450345214443554,0.5536723163841808,0.7101449275362319,0.4537037037037037,0.49044865369796753,0.46290433406829834,0.436-0.517,16.5,9.0,7.0-20.0
8,All mixed negatives,108,216,0.5294710219478738,0.35256608723718436,0.371900826446281,0.3358208955223881,0.4166666666666667,0.4785396158695221,0.47251245379447937,0.439-0.553,13.0,12.0,8.0-21.0
8,empirical size matched random,108,54,0.5119170096021948,0.6657716884136927,0.5056179775280899,0.6428571428571429,0.4166666666666667,0.4785396158695221,0.48072752356529236,0.441-0.545,13.0,11.5,6.5-23.0
8,full replacement shuffled,108,54,0.5031721536351166,0.6694184388385966,0.5113636363636364,0.6617647058823529,0.4166666666666667,0.4785396158695221,0.4785396158695221,0.439-0.554,13.0,13.0,10.2-34.5
8,corrupted pathway,108,54,0.5450102880658435,0.6877525870401139,0.5263157894736842,0.7142857142857143,0.4166666666666667,0.4785396158695221,0.4650833010673523,0.440-0.529,13.0,13.0,7.2-25.5
8,cross pathway mixture,108,54,0.5577846364883402,0.7177882098914357,0.5113636363636364,0.6617647058823529,0.4166666666666667,0.4785396158695221,0.4650833010673523,0.439-0.553,13.0,11.0,6.0-13.0
9,All mixed negatives,108,216,0.5314000342935529,0.37373099290540784,0.39111111111111113,0.37606837606837606,0.4074074074074074,0.4886247515678406,0.47884196043014526,0.416-0.546,16.0,13.0,8.0-28.0
9,empirical size matched random,108,54,0.5230624142661179,0.6812401113844967,0.5116279069767442,0.6875,0.4074074074074074,0.4886247515678406,0.47884196043014526,0.416-0.578,16.0,17.0,8.0-49.8
9,full replacement shuffled,108,54,0.5221193415637859,0.6892153475192148,0.5086705202312138,0.676923076923077,0.4074074074074074,0.4886247515678406,0.469515860080719,0.448-0.567,16.0,16.0,9.0-38.8
9,corrupted pathway,108,54,0.4145233196159122,0.6450149183586136,0.4943820224719101,0.6285714285714286,0.4074074074074074,0.4886247515678406,0.4974113702774048,0.467-0.578,16.0,18.5,10.2-42.8
9,cross pathway mixture,108,54,0.6658950617283951,0.809478192595427,0.5569620253164557,0.88,0.4074074074074074,0.4886247515678406,0.45107394456863403,0.416-0.482,16.0,9.0,6.0-10.8
10,All mixed negatives,108,216,0.5060013717421125,0.33732249325246705,0.4117647058823529,0.34146341463414637,0.5185185185185185,0.5022221207618713,0.5007316470146179,0.452-0.548,17.0,12.0,9.0-29.0
10,empirical size matched random,108,54,0.45507544581618664,0.6385881523673541,0.5714285714285714,0.6363636363636364,0.5185185185185185,0.5022221207618713,0.5089823007583618,0.452-0.589,17.0,19.5,9.2-32.0
10,full replacement shuffled,108,54,0.5527263374485598,0.6876836500940756,0.6021505376344086,0.717948717948718,0.5185185185185185,0.5022221207618713,0.4731311798095703,0.440-0.544,17.0,12.0,6.0-31.0
10,corrupted pathway,108,54,0.45516117969821673,0.6595430314613845,0.5685279187817259,0.6292134831460674,0.5185185185185185,0.5022221207618713,0.5043381452560425,0.469-0.548,17.0,14.0,10.0-31.2
10,cross pathway mixture,108,54,0.561042524005487,0.7151464970329569,0.6054054054054054,0.7272727272727273,0.5185185185185185,0.5022221207618713,0.4731311798095703,0.440-0.544,17.0,12.0,8.0-16.8
11,All mixed negatives,108,216,0.5392446844993141,0.35875938818728054,0.38009049773755654,0.37168141592920356,0.3888888888888889,0.4801286458969116,0.47282928228378296,0.451-0.504,15.0,12.0,7.0-29.0
11,empirical size matched random,108,54,0.5393518518518519,0.6863173955640661,0.5,0.7,0.3888888888888889,0.4801286458969116,0.4708305597305298,0.451-0.518,15.0,13.0,7.2-33.0
11,full replacement shuffled,108,54,0.5138888888888888,0.6641276757108944,0.49411764705882355,0.6774193548387096,0.3888888888888889,0.4801286458969116,0.4801286458969116,0.451-0.516,15.0,13.5,7.0-31.5
11,corrupted pathway,108,54,0.46210562414266115,0.6413355639591236,0.4827586206896552,0.6363636363636364,0.3888888888888889,0.4801286458969116,0.4801286458969116,0.455-0.545,15.0,14.0,9.2-38.8
11,cross pathway mixture,108,54,0.6416323731138546,0.805427587026004,0.5283018867924528,0.8235294117647058,0.3888888888888889,0.4801286458969116,0.4530217945575714,0.451-0.479,15.0,9.0,6.0-13.8
12,All mixed negatives,108,216,0.5330504115226338,0.37331849068425577,0.42023346303501946,0.3624161073825503,0.5,0.5014011859893799,0.4872473478317261,0.441-0.597,17.5,13.0,8.0-28.0
12,empirical size matched random,108,54,0.44564471879286693,0.641370779188064,0.5654450261780105,0.6506024096385542,0.5,0.5014011859893799,0.5213668346405029,0.456-0.651,17.5,27.5,13.0-35.0
12,full replacement shuffled,108,54,0.5468106995884774,0.7058050426759345,0.5837837837837838,0.7012987012987013,0.5,0.5014011859893799,0.49032726883888245,0.427-0.613,17.5,12.0,6.0-26.8
12,corrupted pathway,108,54,0.5734739368998628,0.7218360719088844,0.5869565217391305,0.7105263157894737,0.5,0.5014011859893799,0.47312772274017334,0.427-0.577,17.5,15.5,9.0-27.5
12,cross pathway mixture,108,54,0.5662722908093278,0.7504248898247515,0.5901639344262295,0.72,0.5,0.5014011859893799,0.4799812138080597,0.450-0.515,17.5,9.0,7.0-13.8
13,All mixed negatives,108,216,0.5431455761316872,0.38375406033454185,0.41732283464566927,0.363013698630137,0.49074074074074076,0.4966278076171875,0.47320783138275146,0.442-0.545,16.5,13.5,8.0-27.0
13,empirical size matched random,108,54,0.47788065843621397,0.6529376565581371,0.5608465608465608,0.654320987654321,0.49074074074074076,0.4966278076171875,0.507420539855957,0.464-0.547,16.5,14.5,9.0-25.0
13,full replacement shuffled,108,54,0.5392661179698216,0.7206950907831209,0.5698924731182796,0.6794871794871795,0.49074074074074076,0.4966278076171875,0.47345614433288574,0.445-0.545,16.5,15.0,8.0-32.0
13,corrupted pathway,108,54,0.5455246913580247,0.7076228658397838,0.5760869565217391,0.6973684210526315,0.49074074074074076,0.4966278076171875,0.4932834208011627,0.437-0.545,16.5,15.0,9.0-35.0
13,cross pathway mixture,108,54,0.6099108367626886,0.7765818997264937,0.5955056179775281,0.7571428571428571,0.49074074074074076,0.4966278076171875,0.46396371722221375,0.448-0.507,16.5,9.0,5.0-14.0
14,All mixed negatives,108,216,0.510781035665295,0.3432712214041161,0.41025641025641024,0.3393939393939394,0.5185185185185185,0.5045587420463562,0.5045587420463562,0.446-0.533,14.0,14.0,9.0-33.0
14,empirical size matched random,108,54,0.4467592592592593,0.6445962829514229,0.5743589743589743,0.6436781609195402,0.5185185185185185,0.5045587420463562,0.5137690305709839,0.449-0.629,14.0,20.0,13.0-41.0
14,full replacement shuffled,108,54,0.49185528120713307,0.6727758902377922,0.5803108808290155,0.6588235294117647,0.5185185185185185,0.5045587420463562,0.5137690305709839,0.461-0.527,14.0,17.0,10.2-33.0
